;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 4/28/2016 2:37:13 PM
;----------------------------------------------

;Address Opcode 	ASM
;usb_rs232_tmr0.c,93 :: 		TMR1H = 0x3C;
0x0072	0x0E3C      	MOVLW       60
0x0074	0x6ECF      	MOVWF       TMR1H 
;usb_rs232_tmr0.c,94 :: 		TMR1L = 0xB0;
0x0076	0x0EB0      	MOVLW       176
0x0078	0x6ECE      	MOVWF       TMR1L 
;usb_rs232_tmr0.c,96 :: 		}
L_interrupt1:
;usb_rs232_tmr0.c,97 :: 		if(TMR2IF_bit){
0x007A	0xB29E      	BTFSC       TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;usb_rs232_tmr0.c,98 :: 		TMR2IF_bit = 0;
0x007C	0x929E      	BCF         TMR2IF_bit, BitPos(TMR2IF_bit+0) 
;usb_rs232_tmr0.c,100 :: 		}
L_interrupt2:
;usb_rs232_tmr0.c,101 :: 		if(TMR3IF_bit){
0x007E	0xA2A1      	BTFSS       TMR3IF_bit, BitPos(TMR3IF_bit+0) 
0x0080	0xD005      	BRA         L_interrupt3
;usb_rs232_tmr0.c,102 :: 		TMR3IF_bit = 0;
0x0082	0x92A1      	BCF         TMR3IF_bit, BitPos(TMR3IF_bit+0) 
;usb_rs232_tmr0.c,103 :: 		TMR3H         = 0x3C;
0x0084	0x0E3C      	MOVLW       60
0x0086	0x6EB3      	MOVWF       TMR3H 
;usb_rs232_tmr0.c,104 :: 		TMR3L         = 0xB0;
0x0088	0x0EB0      	MOVLW       176
0x008A	0x6EB2      	MOVWF       TMR3L 
;usb_rs232_tmr0.c,106 :: 		}
L_interrupt3:
;usb_rs232_tmr0.c,107 :: 		if(INT0F_bit){
0x008C	0xA2F2      	BTFSS       INT0F_bit, BitPos(INT0F_bit+0) 
0x008E	0xD003      	BRA         L_interrupt4
;usb_rs232_tmr0.c,108 :: 		ready = 1;
0x0090	0x0E01      	MOVLW       1
0x0092	0x6E3C      	MOVWF       _ready 
;usb_rs232_tmr0.c,109 :: 		INT0F_bit = 0;
0x0094	0x92F2      	BCF         INT0F_bit, BitPos(INT0F_bit+0) 
;usb_rs232_tmr0.c,110 :: 		}
L_interrupt4:
;usb_rs232_tmr0.c,111 :: 		if(INT1F_bit){
0x0096	0xA0F0      	BTFSS       INT1F_bit, BitPos(INT1F_bit+0) 
0x0098	0xD003      	BRA         L_interrupt5
;usb_rs232_tmr0.c,112 :: 		xray_on = 1;
0x009A	0x0E01      	MOVLW       1
0x009C	0x6E3B      	MOVWF       _xray_on 
;usb_rs232_tmr0.c,113 :: 		INT1F_bit = 0;
0x009E	0x90F0      	BCF         INT1F_bit, BitPos(INT1F_bit+0) 
;usb_rs232_tmr0.c,114 :: 		}
L_interrupt5:
;usb_rs232_tmr0.c,115 :: 		if(INT2F_bit){
0x00A0	0xB2F0      	BTFSC       INT2F_bit, BitPos(INT2F_bit+0) 
;usb_rs232_tmr0.c,117 :: 		INT2F_bit = 0;
0x00A2	0x92F0      	BCF         INT2F_bit, BitPos(INT2F_bit+0) 
;usb_rs232_tmr0.c,118 :: 		}
L_interrupt6:
;usb_rs232_tmr0.c,122 :: 		}
L_end_interrupt:
L__interrupt95:
0x00A4	0xFFF5C022  	MOVFF       34, TABLAT
0x00A8	0xFFF8C01F  	MOVFF       31, TBLPTRU
0x00AC	0xFFF7C020  	MOVFF       32, TBLPTRH
0x00B0	0xFFF6C021  	MOVFF       33, 4086
0x00B4	0xFFF3C023  	MOVFF       35, PROD
0x00B8	0xFFF4C024  	MOVFF       36, PRODH
0x00BC	0xF000C01E  	MOVFF       30, R0
0x00C0	0xF001C01D  	MOVFF       29, R1
0x00C4	0xF002C01C  	MOVFF       28, R2
0x00C8	0xF003C01B  	MOVFF       27, R3
0x00CC	0xF004C01A  	MOVFF       26, R4
0x00D0	0xF005C019  	MOVFF       25, R5
0x00D4	0xF008C018  	MOVFF       24, R8
0x00D8	0xF009C017  	MOVFF       23, R9
0x00DC	0xF00AC016  	MOVFF       22, R10
0x00E0	0xF00BC015  	MOVFF       21, R11
0x00E4	0xFFE9C025  	MOVFF       37, FSR0L
0x00E8	0xFFEAC026  	MOVFF       38, FSR0H
0x00EC	0xFFE1C027  	MOVFF       39, FSR1L
0x00F0	0xFFE2C028  	MOVFF       40, FSR1H
0x00F4	0x0011      	RETFIE      1
; end of _interrupt
__Lib_USB_genHID_USB_CB_Init_EP:
;__Lib_USB_genHID.c,4490 :: 		
;__Lib_USB_genHID.c,4491 :: 		
0x00F6	0x0E1E      	MOVLW       30
0x00F8	0x6E71      	MOVWF       UEP1 
;__Lib_USB_genHID.c,4493 :: 		
0x00FA	0x0E10      	MOVLW       __Lib_USB_genHID_BDT+16
0x00FC	0x0100      	MOVLB       0
0x00FE	0x6F66      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 1
0x0100	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+16)
0x0102	0x6F67      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+3, 1
;__Lib_USB_genHID.c,4494 :: 		
0x0104	0xFFE1C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0108	0xFFE2C067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x010C	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4495 :: 		
0x010E	0xFFE1C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0112	0xFFE2C067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0116	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4496 :: 		
0x0118	0x0E04      	MOVLW       4
0x011A	0x2566      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x011C	0x6EE1      	MOVWF       FSR1L 
0x011E	0x0E00      	MOVLW       0
0x0120	0x2167      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0122	0x6EE2      	MOVWF       FSR1H 
0x0124	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4498 :: 		
0x0126	0x0E18      	MOVLW       __Lib_USB_genHID_BDT+24
0x0128	0x6F6C      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 1
0x012A	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+24)
0x012C	0x6F6D      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+3, 1
;__Lib_USB_genHID.c,4499 :: 		
0x012E	0xFFE1C06C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x0132	0xFFE2C06D  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x0136	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4500 :: 		
0x0138	0xFFE1C06C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x013C	0xFFE2C06D  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x0140	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4501 :: 		
0x0142	0x0E04      	MOVLW       4
0x0144	0x256C      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 0, 1
0x0146	0x6EE1      	MOVWF       FSR1L 
0x0148	0x0E00      	MOVLW       0
0x014A	0x216D      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+3, 0, 1
0x014C	0x6EE2      	MOVWF       FSR1H 
0x014E	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4503 :: 		
0x0150	0x0E02      	MOVLW       2
0x0152	0x2566      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0154	0x6EE1      	MOVWF       FSR1L 
0x0156	0x0E00      	MOVLW       0
0x0158	0x2167      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x015A	0x6EE2      	MOVWF       FSR1H 
0x015C	0xFFE6C057  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer, POSTINC1
0x0160	0xFFE6C058  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer+1, POSTINC1
;__Lib_USB_genHID.c,4504 :: 		
0x0164	0x0E01      	MOVLW       1
0x0166	0x2566      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0168	0x6EE1      	MOVWF       FSR1L 
0x016A	0x0E00      	MOVLW       0
0x016C	0x2167      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x016E	0x6EE2      	MOVWF       FSR1H 
0x0170	0x0E40      	MOVLW       64
0x0172	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4505 :: 		
0x0174	0xFFE9C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x0178	0xFFEAC067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x017C	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0180	0xFFE1C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0184	0xFFE2C067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0188	0x0E40      	MOVLW       64
0x018A	0x1400      	ANDWF       R0, 0 
0x018C	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4506 :: 		
0x018E	0xFFE9C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x0192	0xFFEAC067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x0196	0xF000CFEE  	MOVFF       POSTINC0, R0
0x019A	0xFFE1C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x019E	0xFFE2C067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x01A2	0x0E88      	MOVLW       136
0x01A4	0x1000      	IORWF       R0, 0 
0x01A6	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4507 :: 		
0x01A8	0xF055C066  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, __Lib_USB_genHID_USB_Out_Handle
0x01AC	0xF056C067  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, __Lib_USB_genHID_USB_Out_Handle+1
;__Lib_USB_genHID.c,4509 :: 		
0x01B0	0x0E04      	MOVLW       4
0x01B2	0x1966      	XORWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x01B4	0x6E00      	MOVWF       R0 
0x01B6	0xF066C000  	MOVFF       R0, __Lib_USB_genHID_BDTEntry_OutPtr+2
;__Lib_USB_genHID.c,4524 :: 		
L_end_USB_CB_Init_EP:
0x01BA	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CB_Init_EP
_Mul_16x16_U:
;__Lib_Math.c,440 :: 		
;__Lib_Math.c,447 :: 		
0x01BC	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,448 :: 		
0x01BE	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,449 :: 		
0x01C0	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,450 :: 		
0x01C2	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,451 :: 		
0x01C4	0x0204      	MULWF       R4, 0
;__Lib_Math.c,453 :: 		
0x01C6	0xF009CFF4  	MOVFF       PRODH, R9
;__Lib_Math.c,454 :: 		
0x01CA	0xF008CFF3  	MOVFF       PRODL, R8
;__Lib_Math.c,455 :: 		
0x01CE	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,456 :: 		
0x01D0	0x0205      	MULWF       R5, 0
;__Lib_Math.c,458 :: 		
0x01D2	0xF00BCFF4  	MOVFF       PRODH, R11
;__Lib_Math.c,459 :: 		
0x01D6	0xF00ACFF3  	MOVFF       PRODL, R10
;__Lib_Math.c,460 :: 		
0x01DA	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,461 :: 		
0x01DC	0x0205      	MULWF       R5, 0
;__Lib_Math.c,463 :: 		
0x01DE	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,464 :: 		
0x01E0	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,465 :: 		
0x01E2	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,466 :: 		
0x01E4	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,467 :: 		
0x01E6	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,468 :: 		
0x01E8	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,469 :: 		
0x01EA	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,470 :: 		
0x01EC	0x0204      	MULWF       R4, 0
;__Lib_Math.c,472 :: 		
0x01EE	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,473 :: 		
0x01F0	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,474 :: 		
0x01F2	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,475 :: 		
0x01F4	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,476 :: 		
0x01F6	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,477 :: 		
0x01F8	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,479 :: 		
0x01FA	0xF000C008  	MOVFF       R8, R0
;__Lib_Math.c,480 :: 		
0x01FE	0xF001C009  	MOVFF       R9, R1
;__Lib_Math.c,481 :: 		
0x0202	0xF002C00A  	MOVFF       R10, R2
;__Lib_Math.c,482 :: 		
0x0206	0xF003C00B  	MOVFF       R11, R3
;__Lib_Math.c,485 :: 		
L_end_Mul_16x16_U:
0x020A	0x0012      	RETURN      0
; end of _Mul_16x16_U
__Lib_USB_genHID_USB_CtrlTrf_Tx_Service:
;__Lib_USB_genHID.c,3843 :: 		
;__Lib_USB_genHID.c,3850 :: 		
0x020C	0x0E00      	MOVLW       0
0x020E	0x0100      	MOVLB       0
0x0210	0x5D73      	SUBWF       __Lib_USB_genHID_inPipes+5, 0, 1
0x0212	0xE102      	BNZ         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service314
0x0214	0x0E08      	MOVLW       8
0x0216	0x5D72      	SUBWF       __Lib_USB_genHID_inPipes+4, 0, 1
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service314:
0x0218	0xE210      	BC          L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service176
;__Lib_USB_genHID.c,3851 :: 		
0x021A	0xF003C072  	MOVFF       __Lib_USB_genHID_inPipes+4, R3
0x021E	0xF004C073  	MOVFF       __Lib_USB_genHID_inPipes+5, R4
;__Lib_USB_genHID.c,3853 :: 		
0x0222	0x504F      	MOVF        __Lib_USB_genHID_shortPacketStatus, 0 
0x0224	0x0A00      	XORLW       0
0x0226	0xE103      	BNZ         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service177
;__Lib_USB_genHID.c,3854 :: 		
0x0228	0x0E01      	MOVLW       1
0x022A	0x6E4F      	MOVWF       __Lib_USB_genHID_shortPacketStatus 
;__Lib_USB_genHID.c,3855 :: 		
0x022C	0xD005      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service178
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service177:
0x022E	0x504F      	MOVF        __Lib_USB_genHID_shortPacketStatus, 0 
0x0230	0x0A01      	XORLW       1
0x0232	0xE102      	BNZ         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service179
;__Lib_USB_genHID.c,3856 :: 		
0x0234	0x0E02      	MOVLW       2
0x0236	0x6E4F      	MOVWF       __Lib_USB_genHID_shortPacketStatus 
;__Lib_USB_genHID.c,3857 :: 		
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service179:
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service178:
;__Lib_USB_genHID.c,3858 :: 		
0x0238	0xD004      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service180
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service176:
;__Lib_USB_genHID.c,3859 :: 		
0x023A	0x0E08      	MOVLW       8
0x023C	0x6E03      	MOVWF       R3 
0x023E	0x0E00      	MOVLW       0
0x0240	0x6E04      	MOVWF       R4 
;__Lib_USB_genHID.c,3860 :: 		
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service180:
;__Lib_USB_genHID.c,3866 :: 		
0x0242	0xFFE1C06A  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1L
0x0246	0xFFE2C06B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x024A	0x92E6      	BCF         POSTINC1, 1 
;__Lib_USB_genHID.c,3867 :: 		
0x024C	0xFFE1C06A  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1L
0x0250	0xFFE2C06B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0254	0x90E6      	BCF         POSTINC1, 0 
;__Lib_USB_genHID.c,3869 :: 		
0x0256	0xFFE9C06A  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR0L
0x025A	0xFFEAC06B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR0H
0x025E	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0262	0xFFE1C06A  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1L
0x0266	0xFFE2C06B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x026A	0x5004      	MOVF        R4, 0 
0x026C	0x1000      	IORWF       R0, 0 
0x026E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3870 :: 		
0x0270	0x0E01      	MOVLW       1
0x0272	0x256A      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0274	0x6EE1      	MOVWF       FSR1L 
0x0276	0x0E00      	MOVLW       0
0x0278	0x216B      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x027A	0x6EE2      	MOVWF       FSR1H 
0x027C	0xFFE6C003  	MOVFF       R3, POSTINC1
;__Lib_USB_genHID.c,3875 :: 		
0x0280	0x5003      	MOVF        R3, 0 
0x0282	0x5D72      	SUBWF       __Lib_USB_genHID_inPipes+4, 0, 1
0x0284	0x6E00      	MOVWF       R0 
0x0286	0x5004      	MOVF        R4, 0 
0x0288	0x5973      	SUBWFB      __Lib_USB_genHID_inPipes+5, 0, 1
0x028A	0x6E01      	MOVWF       R1 
0x028C	0xF072C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+4
0x0290	0xF073C001  	MOVFF       R1, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,3877 :: 		
0x0294	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0296	0x6F92      	MOVWF       __Lib_USB_genHID_pDst, 1
0x0298	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x029A	0x6F93      	MOVWF       __Lib_USB_genHID_pDst+1, 1
;__Lib_USB_genHID.c,3879 :: 		
0x029C	0xB171      	BTFSC       __Lib_USB_genHID_inPipes+3, 0, 1
0x029E	0xD02F      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service181
;__Lib_USB_genHID.c,3881 :: 		
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service182:
0x02A0	0x5003      	MOVF        R3, 0 
0x02A2	0x1004      	IORWF       R4, 0 
0x02A4	0xE02B      	BZ          L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service183
;__Lib_USB_genHID.c,3882 :: 		
0x02A6	0xFFF6C06E  	MOVFF       __Lib_USB_genHID_inPipes, 4086
0x02AA	0xFFF7C06F  	MOVFF       __Lib_USB_genHID_inPipes+1, TBLPTRH
0x02AE	0xFFF8C070  	MOVFF       __Lib_USB_genHID_inPipes+2, TBLPTRU
0x02B2	0x0009      	TBLRD*+
0x02B4	0xF000CFF5  	MOVFF       TABLAT, R0
0x02B8	0xFFE1C092  	MOVFF       __Lib_USB_genHID_pDst, FSR1L
0x02BC	0xFFE2C093  	MOVFF       __Lib_USB_genHID_pDst+1, FSR1H
0x02C0	0xFFE6C000  	MOVFF       R0, POSTINC1
0x02C4	0x4B92      	INFSNZ      __Lib_USB_genHID_pDst, 1, 1
0x02C6	0x2B93      	INCF        __Lib_USB_genHID_pDst+1, 1, 1
0x02C8	0x0E01      	MOVLW       1
0x02CA	0x256E      	ADDWF       __Lib_USB_genHID_inPipes, 0, 1
0x02CC	0x6E00      	MOVWF       R0 
0x02CE	0x0E00      	MOVLW       0
0x02D0	0x216F      	ADDWFC      __Lib_USB_genHID_inPipes+1, 0, 1
0x02D2	0x6E01      	MOVWF       R1 
0x02D4	0x0E00      	MOVLW       0
0x02D6	0x2170      	ADDWFC      __Lib_USB_genHID_inPipes+2, 0, 1
0x02D8	0x6E02      	MOVWF       R2 
0x02DA	0xF06EC000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x02DE	0xF06FC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
0x02E2	0xF070C002  	MOVFF       R2, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3883 :: 		
0x02E6	0x0E01      	MOVLW       1
0x02E8	0x5C03      	SUBWF       R3, 0 
0x02EA	0x6E00      	MOVWF       R0 
0x02EC	0x0E00      	MOVLW       0
0x02EE	0x5804      	SUBWFB      R4, 0 
0x02F0	0x6E01      	MOVWF       R1 
0x02F2	0xF003C000  	MOVFF       R0, R3
0x02F6	0xF004C001  	MOVFF       R1, R4
;__Lib_USB_genHID.c,3884 :: 		
0x02FA	0xD7D2      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service182
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service183:
;__Lib_USB_genHID.c,3885 :: 		
0x02FC	0xD024      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service184
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service181:
;__Lib_USB_genHID.c,3887 :: 		
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service185:
0x02FE	0x5003      	MOVF        R3, 0 
0x0300	0x1004      	IORWF       R4, 0 
0x0302	0xE021      	BZ          L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service186
;__Lib_USB_genHID.c,3888 :: 		
0x0304	0xFFE9C06E  	MOVFF       __Lib_USB_genHID_inPipes, FSR0L
0x0308	0xFFEAC06F  	MOVFF       __Lib_USB_genHID_inPipes+1, FSR0H
0x030C	0xFFE1C092  	MOVFF       __Lib_USB_genHID_pDst, FSR1L
0x0310	0xFFE2C093  	MOVFF       __Lib_USB_genHID_pDst+1, FSR1H
0x0314	0xFFE6CFEE  	MOVFF       POSTINC0, POSTINC1
0x0318	0x4B92      	INFSNZ      __Lib_USB_genHID_pDst, 1, 1
0x031A	0x2B93      	INCF        __Lib_USB_genHID_pDst+1, 1, 1
0x031C	0x0E01      	MOVLW       1
0x031E	0x256E      	ADDWF       __Lib_USB_genHID_inPipes, 0, 1
0x0320	0x6E00      	MOVWF       R0 
0x0322	0x0E00      	MOVLW       0
0x0324	0x216F      	ADDWFC      __Lib_USB_genHID_inPipes+1, 0, 1
0x0326	0x6E01      	MOVWF       R1 
0x0328	0xF06EC000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x032C	0xF06FC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
;__Lib_USB_genHID.c,3889 :: 		
0x0330	0x0E01      	MOVLW       1
0x0332	0x5C03      	SUBWF       R3, 0 
0x0334	0x6E00      	MOVWF       R0 
0x0336	0x0E00      	MOVLW       0
0x0338	0x5804      	SUBWFB      R4, 0 
0x033A	0x6E01      	MOVWF       R1 
0x033C	0xF003C000  	MOVFF       R0, R3
0x0340	0xF004C001  	MOVFF       R1, R4
;__Lib_USB_genHID.c,3890 :: 		
0x0344	0xD7DC      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service185
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service186:
;__Lib_USB_genHID.c,3891 :: 		
L___Lib_USB_genHID_USB_CtrlTrf_Tx_Service184:
;__Lib_USB_genHID.c,3893 :: 		
L_end_USB_CtrlTrf_Tx_Service:
0x0346	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CtrlTrf_Tx_Service
__Lib_USB_genHID_USB_Get_Dsc_Handler:
;__Lib_USB_genHID.c,3573 :: 		
;__Lib_USB_genHID.c,3575 :: 		
0x0348	0x0104      	MOVLB       4
0x034A	0x5120      	MOVF        __Lib_USB_genHID_SetupPkt, 0, 1
0x034C	0x0A80      	XORLW       128
0x034E	0xA4D8      	BTFSS       STATUS, 2 
