;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/17/2017 4:46:55 PM
;----------------------------------------------

;Address Opcode 	ASM
0x00F8	0xFFE1C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x00FC	0xFFE2C125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0100	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4495 :: 		
0x0102	0xFFE1C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0106	0xFFE2C125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x010A	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4496 :: 		
0x010C	0x0E04      	MOVLW       4
0x010E	0x2524      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0110	0x6EE1      	MOVWF       FSR1L 
0x0112	0x0E00      	MOVLW       0
0x0114	0x2125      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0116	0x6EE2      	MOVWF       FSR1H 
0x0118	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4498 :: 		
0x011A	0x0E18      	MOVLW       __Lib_USB_genHID_BDT+24
0x011C	0x6F2B      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 1
0x011E	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+24)
0x0120	0x6F2C      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+3, 1
;__Lib_USB_genHID.c,4499 :: 		
0x0122	0xFFE1C12B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x0126	0xFFE2C12C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x012A	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4500 :: 		
0x012C	0xFFE1C12B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x0130	0xFFE2C12C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x0134	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4501 :: 		
0x0136	0x0E04      	MOVLW       4
0x0138	0x252B      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 0, 1
0x013A	0x6EE1      	MOVWF       FSR1L 
0x013C	0x0E00      	MOVLW       0
0x013E	0x212C      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+3, 0, 1
0x0140	0x6EE2      	MOVWF       FSR1H 
0x0142	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4503 :: 		
0x0144	0x0E02      	MOVLW       2
0x0146	0x2524      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0148	0x6EE1      	MOVWF       FSR1L 
0x014A	0x0E00      	MOVLW       0
0x014C	0x2125      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x014E	0x6EE2      	MOVWF       FSR1H 
0x0150	0xFFE6C127  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer, POSTINC1
0x0154	0xFFE6C128  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer+1, POSTINC1
;__Lib_USB_genHID.c,4504 :: 		
0x0158	0x0E01      	MOVLW       1
0x015A	0x2524      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x015C	0x6EE1      	MOVWF       FSR1L 
0x015E	0x0E00      	MOVLW       0
0x0160	0x2125      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0162	0x6EE2      	MOVWF       FSR1H 
0x0164	0x0E40      	MOVLW       64
0x0166	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4505 :: 		
0x0168	0xFFE9C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x016C	0xFFEAC125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x0170	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0174	0xFFE1C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0178	0xFFE2C125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x017C	0x0E40      	MOVLW       64
0x017E	0x1400      	ANDWF       R0, 0 
0x0180	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4506 :: 		
0x0182	0xFFE9C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x0186	0xFFEAC125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x018A	0xF000CFEE  	MOVFF       POSTINC0, R0
0x018E	0xFFE1C124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0192	0xFFE2C125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0196	0x0E88      	MOVLW       136
0x0198	0x1000      	IORWF       R0, 0 
0x019A	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4507 :: 		
0x019C	0xF10FC124  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, __Lib_USB_genHID_USB_Out_Handle
0x01A0	0xF110C125  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, __Lib_USB_genHID_USB_Out_Handle+1
;__Lib_USB_genHID.c,4509 :: 		
0x01A4	0x0E04      	MOVLW       4
0x01A6	0x1924      	XORWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x01A8	0x6E00      	MOVWF       R0 
0x01AA	0xF124C000  	MOVFF       R0, __Lib_USB_genHID_BDTEntry_OutPtr+2
;__Lib_USB_genHID.c,4524 :: 		
L_end_USB_CB_Init_EP:
0x01AE	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CB_Init_EP
_Mul_16x16_U:
;__Lib_Math.c,440 :: 		
;__Lib_Math.c,447 :: 		
0x01B0	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,448 :: 		
0x01B2	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,449 :: 		
0x01B4	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,450 :: 		
0x01B6	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,451 :: 		
0x01B8	0x0204      	MULWF       R4, 0
;__Lib_Math.c,453 :: 		
0x01BA	0xF009CFF4  	MOVFF       PRODH, R9
;__Lib_Math.c,454 :: 		
0x01BE	0xF008CFF3  	MOVFF       PRODL, R8
;__Lib_Math.c,455 :: 		
0x01C2	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,456 :: 		
0x01C4	0x0205      	MULWF       R5, 0
;__Lib_Math.c,458 :: 		
0x01C6	0xF00BCFF4  	MOVFF       PRODH, R11
;__Lib_Math.c,459 :: 		
0x01CA	0xF00ACFF3  	MOVFF       PRODL, R10
;__Lib_Math.c,460 :: 		
0x01CE	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,461 :: 		
0x01D0	0x0205      	MULWF       R5, 0
;__Lib_Math.c,463 :: 		
0x01D2	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,464 :: 		
0x01D4	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,465 :: 		
0x01D6	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,466 :: 		
0x01D8	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,467 :: 		
0x01DA	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,468 :: 		
0x01DC	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,469 :: 		
0x01DE	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,470 :: 		
0x01E0	0x0204      	MULWF       R4, 0
;__Lib_Math.c,472 :: 		
0x01E2	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,473 :: 		
0x01E4	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,474 :: 		
0x01E6	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,475 :: 		
0x01E8	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,476 :: 		
0x01EA	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,477 :: 		
0x01EC	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,479 :: 		
0x01EE	0xF000C008  	MOVFF       R8, R0
;__Lib_Math.c,480 :: 		
0x01F2	0xF001C009  	MOVFF       R9, R1
;__Lib_Math.c,481 :: 		
0x01F6	0xF002C00A  	MOVFF       R10, R2
;__Lib_Math.c,482 :: 		
0x01FA	0xF003C00B  	MOVFF       R11, R3
;__Lib_Math.c,485 :: 		
L_end_Mul_16x16_U:
0x01FE	0x0012      	RETURN      0
; end of _Mul_16x16_U
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0200	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0202	0x0012      	RETURN      0
; end of _Delay_1us
__Lib_USB_genHID_USB_Get_Dsc_Handler:
;__Lib_USB_genHID.c,3573 :: 		
;__Lib_USB_genHID.c,3575 :: 		
0x0204	0x0104      	MOVLB       4
0x0206	0x5120      	MOVF        __Lib_USB_genHID_SetupPkt, 0, 1
0x0208	0x0A80      	XORLW       128
0x020A	0xA4D8      	BTFSS       STATUS, 2 
0x020C	0xD07A      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler148
;__Lib_USB_genHID.c,3576 :: 		
0x020E	0x0EC0      	MOVLW       192
0x0210	0x0101      	MOVLB       1
0x0212	0x6F03      	MOVWF       __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3578 :: 		
0x0214	0xD06B      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler149
;__Lib_USB_genHID.c,3579 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler151:
0x0216	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3580 :: 		
0x0218	0x0E56      	MOVLW       _device_dsc
0x021A	0x6E00      	MOVWF       R0 
0x021C	0x0E1A      	MOVLW       hi_addr(_device_dsc)
0x021E	0x6E01      	MOVWF       R1 
0x0220	0x0E00      	MOVLW       higher_addr(_device_dsc)
0x0222	0x6E02      	MOVWF       R2 
0x0224	0xF100C000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x0228	0xF101C001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
0x022C	0xF102C002  	MOVFF       R2, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3581 :: 		
0x0230	0x0E12      	MOVLW       18
0x0232	0x6F04      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
0x0234	0x0E00      	MOVLW       0
0x0236	0x6F05      	MOVWF       __Lib_USB_genHID_inPipes+5, 1
;__Lib_USB_genHID.c,3582 :: 		
0x0238	0xD064      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3583 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler152:
0x023A	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3585 :: 		
0x023C	0x0E03      	MOVLW       3
0x023E	0x6E00      	MOVWF       R0 
0x0240	0x0E00      	MOVLW       0
0x0242	0x6E01      	MOVWF       R1 
0x0244	0xF004C422  	MOVFF       1058, R4
0x0248	0x0E00      	MOVLW       0
0x024A	0x6E05      	MOVWF       R5 
0x024C	0xDFB1      	RCALL       _Mul_16x16_U
0x024E	0x0E65      	MOVLW       _USB_config_dsc_ptr
0x0250	0x2400      	ADDWF       R0, 0 
0x0252	0x6EE9      	MOVWF       FSR0L 
0x0254	0x0E00      	MOVLW       hi_addr(_USB_config_dsc_ptr)
0x0256	0x2001      	ADDWFC      R1, 0 
0x0258	0x6EEA      	MOVWF       FSR0H 
0x025A	0xF100CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes
0x025E	0xF101CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+1
0x0262	0xF102CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3586 :: 		
0x0266	0x0E02      	MOVLW       2
0x0268	0x2500      	ADDWF       __Lib_USB_genHID_inPipes, 0, 1
0x026A	0x6EF6      	MOVWF       4086 
0x026C	0x0E00      	MOVLW       0
0x026E	0x2101      	ADDWFC      __Lib_USB_genHID_inPipes+1, 0, 1
0x0270	0x6EF7      	MOVWF       TBLPTRH 
0x0272	0x0E00      	MOVLW       0
0x0274	0x2102      	ADDWFC      __Lib_USB_genHID_inPipes+2, 0, 1
0x0276	0x6EF8      	MOVWF       TBLPTRU 
0x0278	0x0009      	TBLRD*+
0x027A	0xF000CFF5  	MOVFF       TABLAT, R0
0x027E	0x0009      	TBLRD*+
0x0280	0xF001CFF5  	MOVFF       TABLAT, R1
0x0284	0xF104C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+4
0x0288	0xF105C001  	MOVFF       R1, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,3587 :: 		
0x028C	0xD03A      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3588 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler153:
;__Lib_USB_genHID.c,3592 :: 		
0x028E	0x0104      	MOVLB       4
0x0290	0x5122      	MOVF        1058, 0, 1
0x0292	0x0100      	MOVLB       0
0x0294	0x5DFB      	SUBWF       __Lib_USB_genHID_maxDescriptorIndex, 0, 1
0x0296	0xE324      	BNC         L___Lib_USB_genHID_USB_Get_Dsc_Handler154
;__Lib_USB_genHID.c,3594 :: 		
0x0298	0x0E03      	MOVLW       3
0x029A	0x6E00      	MOVWF       R0 
0x029C	0x0E00      	MOVLW       0
0x029E	0x6E01      	MOVWF       R1 
0x02A0	0xF004C422  	MOVFF       1058, R4
0x02A4	0x0E00      	MOVLW       0
0x02A6	0x6E05      	MOVWF       R5 
0x02A8	0xDF83      	RCALL       _Mul_16x16_U
0x02AA	0x0E68      	MOVLW       _USB_string_dsc_ptr
0x02AC	0x2400      	ADDWF       R0, 0 
0x02AE	0x6EE9      	MOVWF       FSR0L 
0x02B0	0x0E00      	MOVLW       hi_addr(_USB_string_dsc_ptr)
0x02B2	0x2001      	ADDWFC      R1, 0 
0x02B4	0x6EEA      	MOVWF       FSR0H 
0x02B6	0xF100CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes
0x02BA	0xF101CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+1
0x02BE	0xF102CFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3596 :: 		
0x02C2	0xFFF6C100  	MOVFF       __Lib_USB_genHID_inPipes, 4086
0x02C6	0xFFF7C101  	MOVFF       __Lib_USB_genHID_inPipes+1, TBLPTRH
0x02CA	0xFFF8C102  	MOVFF       __Lib_USB_genHID_inPipes+2, TBLPTRU
0x02CE	0x0009      	TBLRD*+
0x02D0	0xF000CFF5  	MOVFF       TABLAT, R0
0x02D4	0xF104C000  	MOVFF       R0, __Lib_USB_genHID_inPipes+4
0x02D8	0x0E00      	MOVLW       0
0x02DA	0x0101      	MOVLB       1
0x02DC	0x6F05      	MOVWF       __Lib_USB_genHID_inPipes+5, 1
;__Lib_USB_genHID.c,3597 :: 		
0x02DE	0xD002      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler155
L___Lib_USB_genHID_USB_Get_Dsc_Handler154:
0x02E0	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3598 :: 		
0x02E2	0x6B03      	CLRF        __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3599 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler155:
;__Lib_USB_genHID.c,3600 :: 		
0x02E4	0xD00E      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3601 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler156:
0x02E6	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3602 :: 		
0x02E8	0x6B03      	CLRF        __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3603 :: 		
0x02EA	0xD00B      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3604 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler149:
0x02EC	0x0104      	MOVLB       4
0x02EE	0x5123      	MOVF        1059, 0, 1
0x02F0	0x0A01      	XORLW       1
0x02F2	0xE091      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler151
0x02F4	0x5123      	MOVF        1059, 0, 1
0x02F6	0x0A02      	XORLW       2
0x02F8	0xE0A0      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler152
0x02FA	0x5123      	MOVF        1059, 0, 1
0x02FC	0x0A03      	XORLW       3
0x02FE	0xE0C7      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler153
0x0300	0xD7F2      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler156
L___Lib_USB_genHID_USB_Get_Dsc_Handler150:
;__Lib_USB_genHID.c,3605 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler148:
;__Lib_USB_genHID.c,3606 :: 		
L_end_USB_Get_Dsc_Handler:
0x0302	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Get_Dsc_Handler
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0304	0x0E08      	MOVLW       8
0x0306	0x6E0C      	MOVWF       R12, 0
0x0308	0x0E23      	MOVLW       35
0x030A	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x030C	0x2E0D      	DECFSZ      R13, 1, 0
0x030E	0xD7FE      	BRA         L_Delay_5500us5
0x0310	0x2E0C      	DECFSZ      R12, 1, 0
0x0312	0xD7FC      	BRA         L_Delay_5500us5
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0314	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0316	0x0E10      	MOVLW       16
0x0318	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x031A	0x2E0D      	DECFSZ      R13, 1, 0
0x031C	0xD7FE      	BRA         L_Delay_50us2
0x031E	0x0000      	NOP
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0320	0x0012      	RETURN      0
; end of _Delay_50us
__Lib_USB_genHID_USB_Std_Feature_Req_Handler:
;__Lib_USB_genHID.c,3481 :: 		
;__Lib_USB_genHID.c,3487 :: 		
0x0322	0x0104      	MOVLB       4
0x0324	0x5122      	MOVF        1058, 0, 1
0x0326	0x0A01      	XORLW       1
0x0328	0xE113      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler136
0x032A	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x032E	0x0E1F      	MOVLW       31
0x0330	0x1601      	ANDWF       R1, 1 
0x0332	0x5001      	MOVF        R1, 0 
0x0334	0x0A00      	XORLW       0
0x0336	0xE10C      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler136
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler274:
;__Lib_USB_genHID.c,3488 :: 		
0x0338	0x0101      	MOVLB       1
0x033A	0x8F03      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
;__Lib_USB_genHID.c,3489 :: 		
0x033C	0x0104      	MOVLB       4
0x033E	0x5121      	MOVF        1057, 0, 1
0x0340	0x0A03      	XORLW       3
0x0342	0xE104      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler137
;__Lib_USB_genHID.c,3490 :: 		
0x0344	0x0E01      	MOVLW       1
0x0346	0x0100      	MOVLB       0
0x0348	0x6FB3      	MOVWF       __Lib_USB_genHID_RemoteWakeup, 1
0x034A	0xD002      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler138
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler137:
0x034C	0x0100      	MOVLB       0
