;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 5/16/2016 11:21:33 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0122	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,469 :: 		
0x0124	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,470 :: 		
0x0126	0x0204      	MULWF       R4, 0
;__Lib_Math.c,472 :: 		
0x0128	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,473 :: 		
0x012A	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,474 :: 		
0x012C	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,475 :: 		
0x012E	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,476 :: 		
0x0130	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,477 :: 		
0x0132	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,479 :: 		
0x0134	0xF000C008  	MOVFF       R8, R0
;__Lib_Math.c,480 :: 		
0x0138	0xF001C009  	MOVFF       R9, R1
;__Lib_Math.c,481 :: 		
0x013C	0xF002C00A  	MOVFF       R10, R2
;__Lib_Math.c,482 :: 		
0x0140	0xF003C00B  	MOVFF       R11, R3
;__Lib_Math.c,485 :: 		
L_end_Mul_16x16_U:
0x0144	0x0012      	RETURN      0
; end of _Mul_16x16_U
__Lib_USB_genHID_USB_CB_Init_EP:
;__Lib_USB_genHID.c,4490 :: 		
;__Lib_USB_genHID.c,4491 :: 		
0x0146	0x0E1E      	MOVLW       30
0x0148	0x6E71      	MOVWF       UEP1 
;__Lib_USB_genHID.c,4493 :: 		
0x014A	0x0E10      	MOVLW       __Lib_USB_genHID_BDT+16
0x014C	0x0101      	MOVLB       1
0x014E	0x6F93      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 1
0x0150	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+16)
0x0152	0x6F94      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+3, 1
;__Lib_USB_genHID.c,4494 :: 		
0x0154	0xFFE1C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0158	0xFFE2C194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x015C	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4495 :: 		
0x015E	0xFFE1C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0162	0xFFE2C194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0166	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4496 :: 		
0x0168	0x0E04      	MOVLW       4
0x016A	0x2593      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x016C	0x6EE1      	MOVWF       FSR1L 
0x016E	0x0E00      	MOVLW       0
0x0170	0x2194      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0172	0x6EE2      	MOVWF       FSR1H 
0x0174	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4498 :: 		
0x0176	0x0E18      	MOVLW       __Lib_USB_genHID_BDT+24
0x0178	0x6F9B      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 1
0x017A	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+24)
0x017C	0x6F9C      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+3, 1
;__Lib_USB_genHID.c,4499 :: 		
0x017E	0xFFE1C19B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x0182	0xFFE2C19C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x0186	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4500 :: 		
0x0188	0xFFE1C19B  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x018C	0xFFE2C19C  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x0190	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4501 :: 		
0x0192	0x0E04      	MOVLW       4
0x0194	0x259B      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 0, 1
0x0196	0x6EE1      	MOVWF       FSR1L 
0x0198	0x0E00      	MOVLW       0
0x019A	0x219C      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+3, 0, 1
0x019C	0x6EE2      	MOVWF       FSR1H 
0x019E	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4503 :: 		
0x01A0	0x0E02      	MOVLW       2
0x01A2	0x2593      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x01A4	0x6EE1      	MOVWF       FSR1L 
0x01A6	0x0E00      	MOVLW       0
0x01A8	0x2194      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x01AA	0x6EE2      	MOVWF       FSR1H 
0x01AC	0xFFE6C197  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer, POSTINC1
0x01B0	0xFFE6C198  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer+1, POSTINC1
;__Lib_USB_genHID.c,4504 :: 		
0x01B4	0x0E01      	MOVLW       1
0x01B6	0x2593      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x01B8	0x6EE1      	MOVWF       FSR1L 
0x01BA	0x0E00      	MOVLW       0
0x01BC	0x2194      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x01BE	0x6EE2      	MOVWF       FSR1H 
0x01C0	0x0E40      	MOVLW       64
0x01C2	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4505 :: 		
0x01C4	0xFFE9C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x01C8	0xFFEAC194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x01CC	0xF000CFEE  	MOVFF       POSTINC0, R0
0x01D0	0xFFE1C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x01D4	0xFFE2C194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x01D8	0x0E40      	MOVLW       64
0x01DA	0x1400      	ANDWF       R0, 0 
0x01DC	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4506 :: 		
0x01DE	0xFFE9C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x01E2	0xFFEAC194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x01E6	0xF000CFEE  	MOVFF       POSTINC0, R0
0x01EA	0xFFE1C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x01EE	0xFFE2C194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x01F2	0x0E88      	MOVLW       136
0x01F4	0x1000      	IORWF       R0, 0 
0x01F6	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4507 :: 		
0x01F8	0xF195C193  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, __Lib_USB_genHID_USB_Out_Handle
0x01FC	0xF196C194  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, __Lib_USB_genHID_USB_Out_Handle+1
;__Lib_USB_genHID.c,4509 :: 		
0x0200	0x0E04      	MOVLW       4
0x0202	0x1993      	XORWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0204	0x6E00      	MOVWF       R0 
0x0206	0xF193C000  	MOVFF       R0, __Lib_USB_genHID_BDTEntry_OutPtr+2
;__Lib_USB_genHID.c,4524 :: 		
L_end_USB_CB_Init_EP:
0x020A	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CB_Init_EP
__Lib_USB_genHID_USB_Get_Dsc_Handler:
;__Lib_USB_genHID.c,3573 :: 		
;__Lib_USB_genHID.c,3575 :: 		
0x020C	0x0104      	MOVLB       4
0x020E	0x5120      	MOVF        __Lib_USB_genHID_SetupPkt, 0, 1
0x0210	0x0A80      	XORLW       128
0x0212	0xA4D8      	BTFSS       STATUS, 2 
0x0214	0xD078      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler148
;__Lib_USB_genHID.c,3576 :: 		
0x0216	0x0EC0      	MOVLW       192
0x0218	0x0101      	MOVLB       1
0x021A	0x6F8D      	MOVWF       __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3578 :: 		
0x021C	0xD069      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler149
;__Lib_USB_genHID.c,3579 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler151:
0x021E	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3580 :: 		
0x0220	0x0E10      	MOVLW       _device_dsc
0x0222	0x6E00      	MOVWF       R0 
0x0224	0x0E21      	MOVLW       hi_addr(_device_dsc)
0x0226	0x6E01      	MOVWF       R1 
0x0228	0x0E00      	MOVLW       higher_addr(_device_dsc)
0x022A	0x6E02      	MOVWF       R2 
0x022C	0xF18AC000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x0230	0xF18BC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
0x0234	0xF18CC002  	MOVFF       R2, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3581 :: 		
0x0238	0x0E12      	MOVLW       18
0x023A	0x6F8E      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
0x023C	0x0E00      	MOVLW       0
0x023E	0x6F8F      	MOVWF       __Lib_USB_genHID_inPipes+5, 1
;__Lib_USB_genHID.c,3582 :: 		
0x0240	0xD062      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3583 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler152:
0x0242	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3585 :: 		
0x0244	0x0E03      	MOVLW       3
0x0246	0x6E00      	MOVWF       R0 
0x0248	0x0E00      	MOVLW       0
0x024A	0x6E01      	MOVWF       R1 
0x024C	0xF004C422  	MOVFF       1058, R4
0x0250	0x0E00      	MOVLW       0
0x0252	0x6E05      	MOVWF       R5 
0x0254	0xDF50      	RCALL       _Mul_16x16_U
0x0256	0x0E45      	MOVLW       _USB_config_dsc_ptr
0x0258	0x2400      	ADDWF       R0, 0 
0x025A	0x6EE9      	MOVWF       FSR0L 
0x025C	0x0E00      	MOVLW       hi_addr(_USB_config_dsc_ptr)
0x025E	0x2001      	ADDWFC      R1, 0 
0x0260	0x6EEA      	MOVWF       FSR0H 
0x0262	0xF18ACFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes
0x0266	0xF18BCFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+1
0x026A	0xF18CCFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3586 :: 		
0x026E	0x0E02      	MOVLW       2
0x0270	0x258A      	ADDWF       __Lib_USB_genHID_inPipes, 0, 1
0x0272	0x6EF6      	MOVWF       4086 
0x0274	0x0E00      	MOVLW       0
0x0276	0x218B      	ADDWFC      __Lib_USB_genHID_inPipes+1, 0, 1
0x0278	0x6EF7      	MOVWF       TBLPTRH 
0x027A	0x0E00      	MOVLW       0
0x027C	0x218C      	ADDWFC      __Lib_USB_genHID_inPipes+2, 0, 1
0x027E	0x6EF8      	MOVWF       TBLPTRU 
0x0280	0x0009      	TBLRD*+
0x0282	0xF000CFF5  	MOVFF       TABLAT, R0
0x0286	0x0009      	TBLRD*+
0x0288	0xF001CFF5  	MOVFF       TABLAT, R1
0x028C	0xF18EC000  	MOVFF       R0, __Lib_USB_genHID_inPipes+4
0x0290	0xF18FC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,3587 :: 		
0x0294	0xD038      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3588 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler153:
;__Lib_USB_genHID.c,3592 :: 		
0x0296	0x0104      	MOVLB       4
0x0298	0x5122      	MOVF        1058, 0, 1
0x029A	0x0101      	MOVLB       1
0x029C	0x5D88      	SUBWF       __Lib_USB_genHID_maxDescriptorIndex, 0, 1
0x029E	0xE323      	BNC         L___Lib_USB_genHID_USB_Get_Dsc_Handler154
;__Lib_USB_genHID.c,3594 :: 		
0x02A0	0x0E03      	MOVLW       3
0x02A2	0x6E00      	MOVWF       R0 
0x02A4	0x0E00      	MOVLW       0
0x02A6	0x6E01      	MOVWF       R1 
0x02A8	0xF004C422  	MOVFF       1058, R4
0x02AC	0x0E00      	MOVLW       0
0x02AE	0x6E05      	MOVWF       R5 
0x02B0	0xDF22      	RCALL       _Mul_16x16_U
0x02B2	0x0E49      	MOVLW       _USB_string_dsc_ptr
0x02B4	0x2400      	ADDWF       R0, 0 
0x02B6	0x6EE9      	MOVWF       FSR0L 
0x02B8	0x0E00      	MOVLW       hi_addr(_USB_string_dsc_ptr)
0x02BA	0x2001      	ADDWFC      R1, 0 
0x02BC	0x6EEA      	MOVWF       FSR0H 
0x02BE	0xF18ACFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes
0x02C2	0xF18BCFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+1
0x02C6	0xF18CCFEE  	MOVFF       POSTINC0, __Lib_USB_genHID_inPipes+2
;__Lib_USB_genHID.c,3596 :: 		
0x02CA	0xFFF6C18A  	MOVFF       __Lib_USB_genHID_inPipes, 4086
0x02CE	0xFFF7C18B  	MOVFF       __Lib_USB_genHID_inPipes+1, TBLPTRH
0x02D2	0xFFF8C18C  	MOVFF       __Lib_USB_genHID_inPipes+2, TBLPTRU
0x02D6	0x0009      	TBLRD*+
0x02D8	0xF000CFF5  	MOVFF       TABLAT, R0
0x02DC	0xF18EC000  	MOVFF       R0, __Lib_USB_genHID_inPipes+4
0x02E0	0x0E00      	MOVLW       0
0x02E2	0x6F8F      	MOVWF       __Lib_USB_genHID_inPipes+5, 1
;__Lib_USB_genHID.c,3597 :: 		
0x02E4	0xD001      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler155
L___Lib_USB_genHID_USB_Get_Dsc_Handler154:
;__Lib_USB_genHID.c,3598 :: 		
0x02E6	0x6B8D      	CLRF        __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3599 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler155:
;__Lib_USB_genHID.c,3600 :: 		
0x02E8	0xD00E      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3601 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler156:
0x02EA	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3602 :: 		
0x02EC	0x6B8D      	CLRF        __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,3603 :: 		
0x02EE	0xD00B      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler150
;__Lib_USB_genHID.c,3604 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler149:
0x02F0	0x0104      	MOVLB       4
0x02F2	0x5123      	MOVF        1059, 0, 1
0x02F4	0x0A01      	XORLW       1
0x02F6	0xE093      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler151
0x02F8	0x5123      	MOVF        1059, 0, 1
0x02FA	0x0A02      	XORLW       2
0x02FC	0xE0A2      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler152
0x02FE	0x5123      	MOVF        1059, 0, 1
0x0300	0x0A03      	XORLW       3
0x0302	0xE0C9      	BZ          L___Lib_USB_genHID_USB_Get_Dsc_Handler153
0x0304	0xD7F2      	BRA         L___Lib_USB_genHID_USB_Get_Dsc_Handler156
L___Lib_USB_genHID_USB_Get_Dsc_Handler150:
;__Lib_USB_genHID.c,3605 :: 		
L___Lib_USB_genHID_USB_Get_Dsc_Handler148:
;__Lib_USB_genHID.c,3606 :: 		
L_end_USB_Get_Dsc_Handler:
0x0306	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Get_Dsc_Handler
__Lib_USB_genHID_USB_Check_HID_Request:
;__Lib_USB_genHID.c,4362 :: 		
;__Lib_USB_genHID.c,4363 :: 		
0x0308	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x030C	0x0E1F      	MOVLW       31
0x030E	0x1601      	ANDWF       R1, 1 
0x0310	0x5001      	MOVF        R1, 0 
0x0312	0x0A01      	XORLW       1
0x0314	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request210
0x0316	0xD094      	BRA         L_end_USB_Check_HID_Request
L___Lib_USB_genHID_USB_Check_HID_Request210:
;__Lib_USB_genHID.c,4364 :: 		
0x0318	0x0104      	MOVLB       4
0x031A	0x5124      	MOVF        1060, 0, 1
0x031C	0x0A00      	XORLW       0
0x031E	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_HID_Request211
0x0320	0xD08F      	BRA         L_end_USB_Check_HID_Request
L___Lib_USB_genHID_USB_Check_HID_Request211:
;__Lib_USB_genHID.c,4371 :: 		
0x0322	0x5121      	MOVF        1057, 0, 1
0x0324	0x0A06      	XORLW       6
0x0326	0xE142      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request212
;__Lib_USB_genHID.c,4372 :: 		
0x0328	0xD037      	BRA         L___Lib_USB_genHID_USB_Check_HID_Request213
;__Lib_USB_genHID.c,4373 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request215:
;__Lib_USB_genHID.c,4374 :: 		
0x032A	0x0101      	MOVLB       1
0x032C	0x5167      	MOVF        __Lib_USB_genHID_USBActiveConfiguration, 0, 1
0x032E	0x0A01      	XORLW       1
0x0330	0xE117      	BNZ         L___Lib_USB_genHID_USB_Check_HID_Request216
;__Lib_USB_genHID.c,4375 :: 		
0x0332	0x0E8A      	MOVLW       _configDescriptor1
0x0334	0x6E00      	MOVWF       R0 
0x0336	0x0E20      	MOVLW       hi_addr(_configDescriptor1)
0x0338	0x6E01      	MOVWF       R1 
0x033A	0x0E00      	MOVLW       higher_addr(_configDescriptor1)
0x033C	0x6E02      	MOVWF       R2 
0x033E	0x0E12      	MOVLW       18
0x0340	0x2600      	ADDWF       R0, 1 
0x0342	0x0E00      	MOVLW       0
0x0344	0x2201      	ADDWFC      R1, 1 
0x0346	0x2202      	ADDWFC      R2, 1 
0x0348	0xF18AC000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x034C	0xF18BC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
0x0350	0xF18CC002  	MOVFF       R2, __Lib_USB_genHID_inPipes+2
0x0354	0x0E09      	MOVLW       9
0x0356	0x6F8E      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
0x0358	0x0E00      	MOVLW       0
0x035A	0x6F8F      	MOVWF       __Lib_USB_genHID_inPipes+5, 1
0x035C	0x0EC0      	MOVLW       192
0x035E	0x6F8D      	MOVWF       __Lib_USB_genHID_inPipes+3, 1
;__Lib_USB_genHID.c,4380 :: 		
L___Lib_USB_genHID_USB_Check_HID_Request216:
;__Lib_USB_genHID.c,4381 :: 		
